frame_id,num_total_objects,avg_confidence,min_confidence,scene_diversity_score,total_object_area_ratio,max_box_area,num_large_objects,num_vehicles,num_vrus,log_vehicle_to_vru_ratio,is_vru_present,num_anomalous_static,is_anomalous_static_object_present,num_objects_in_center_lane,avg_y_center_of_vehicles
frame_00960,12.0,0.5527789071202278,0.2501191794872284,2.0,0.11781545135110635,0.07589944975006091,0.0,12.0,0.0,16.300417291085605,0.0,0.0,0.0,4.0,0.5515506267547607
frame_00961,9.0,0.6938456065124936,0.33454176783561707,2.0,0.1727645949427904,0.10986188645096329,0.0,9.0,0.0,16.012735246411598,0.0,0.0,0.0,3.0,0.5682172444131639
frame_00962,11.0,0.6976513402028517,0.26700350642204285,1.0,0.16214084465068723,0.05391146711275607,0.0,11.0,0.0,16.213405921671733,0.0,0.0,0.0,4.0,0.5771762511946938
frame_00963,10.0,0.6525525242090225,0.330105185508728,1.0,0.18187634928498134,0.0819911922637715,0.0,10.0,0.0,16.118095750958314,0.0,0.0,0.0,4.0,0.5736557841300964
frame_00964,7.0,0.6725679465702602,0.3063367009162903,1.0,0.19172243355041435,0.10632615732827944,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,4.0,0.5746246916907174
frame_00965,10.0,0.5498250275850296,0.26553940773010254,3.0,0.07681733131916588,0.04612543013182702,0.0,8.0,0.0,15.894952224644102,0.0,1.0,1.0,5.0,0.5565085858106613
frame_00966,12.0,0.46841222296158475,0.2675776481628418,2.0,0.035583644320652884,0.007540441810874654,0.0,10.0,0.0,16.118095750958314,0.0,0.0,0.0,4.0,0.5461717188358307
frame_00967,12.0,0.49363553524017334,0.2573755085468292,2.0,0.036435196797208094,0.010241128955840395,0.0,11.0,0.0,16.213405921671733,0.0,0.0,0.0,7.0,0.5330611927942797
frame_00968,8.0,0.6064097061753273,0.2939563989639282,2.0,0.0764711744389778,0.04601728162164598,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,4.0,0.5431100044931684
frame_00969,10.0,0.5791620939970017,0.25609710812568665,2.0,0.09185570926325531,0.04987206790964427,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,4.0,0.5461339609963554
