frame_id,anomaly_score
frame_01395,0.015268541524537604
frame_00057,0.01367379756770537
frame_00058,0.011179823328696714
frame_00059,0.010657521428160122
frame_00064,0.010409095575394267
frame_00888,0.009349146755622373
frame_00061,0.009279055431162364
frame_01400,0.009241136728480814
frame_00063,0.00910094046481924
frame_00062,0.00892897366614176
frame_01344,0.007320417110871946
frame_01406,0.0069412950035544485
frame_01282,0.005000523139688018
frame_01346,0.004787809503062679
frame_01343,0.004783159669221604
frame_00515,0.004335495910570031
frame_01419,0.0041997221048380995
frame_01002,0.004041597363116711
frame_00060,0.0037516845482774563
frame_01418,0.003513680384719553
frame_00068,0.0032144040959077858
frame_01192,0.0015253435968176632
frame_01424,0.001283227722613911
frame_02026,0.0012041038234228418
frame_00179,0.0009258082240534149
frame_01378,0.0006453756957391921
frame_01376,0.0006223864615461094
frame_01399,-0.00013223029156872457
frame_01394,-0.0002859840547086434
frame_00067,-0.00028996189514673976
frame_01375,-0.0004009142560127965
frame_01380,-0.0010063232221352858
frame_01285,-0.0011650701568655109
frame_00539,-0.0017962797041144452
frame_01377,-0.002028569940077052
frame_00132,-0.0021844188965485234
frame_01348,-0.002883619400016635
frame_00129,-0.0033441764251797013
frame_01340,-0.0035317550761737038
frame_01398,-0.0037105054847105245
frame_01351,-0.003728317467900588
frame_01387,-0.0038032585968860166
frame_00054,-0.0038274564274730083
frame_00066,-0.004364165917629836
frame_01384,-0.00444136111789778
frame_01417,-0.004460456585359651
frame_01284,-0.00449242414078721
frame_01392,-0.004768586188080848
frame_00887,-0.005425869769630054
frame_01374,-0.005858961042354671
frame_01453,-0.005934823811990508
frame_01397,-0.006199040049643723
frame_01405,-0.006494171945631511
frame_01396,-0.006714733152593466
frame_01494,-0.006723304859330981
frame_01197,-0.006915581886386579
frame_01410,-0.007108851060281585
frame_01734,-0.007377408062053448
frame_01421,-0.007521115052331273
frame_01439,-0.007897607187683453
frame_01307,-0.00799951699349749
frame_01347,-0.008010476750814177
frame_01350,-0.008346136832302176
frame_01372,-0.008455744103655849
frame_00130,-0.008491588903522973
frame_01909,-0.008731976740866343
frame_01338,-0.00894244820041662
frame_01193,-0.009004302938396602
frame_00035,-0.009244524000863008
frame_01233,-0.009429704590457721
frame_01486,-0.009462803336833248
frame_01508,-0.009584302890487728
frame_00056,-0.009999225836298753
frame_01404,-0.010040152958211257
frame_01379,-0.010379986179322842
frame_01393,-0.010612877878363902
frame_00033,-0.010935405117986019
frame_01345,-0.011004925490828488
frame_01446,-0.011005429393551258
frame_01420,-0.011172246705848876
frame_00134,-0.011320809052482228
frame_00485,-0.011707929733053124
frame_01342,-0.011887324769744079
frame_00889,-0.012118689823879036
frame_01382,-0.012134455493660268
frame_01391,-0.012175223016393066
frame_01729,-0.012189793114160352
frame_01882,-0.012517132080948623
frame_01934,-0.012594372916227059
frame_01401,-0.012666503408825913
frame_00133,-0.012763253977075284
frame_01850,-0.012950681682300735
frame_01936,-0.012977341386838592
frame_01935,-0.013075385165621012
frame_02025,-0.013109072593720017
frame_01402,-0.01315388175150356
frame_00401,-0.01324154064917027
frame_01198,-0.01326633231839669
frame_01732,-0.013294050702062299
frame_01386,-0.013520009222529938
frame_00538,-0.01352927547948668
frame_01940,-0.013614032641412532
frame_00320,-0.013874506994839886
frame_01272,-0.014223536717310192
frame_01487,-0.014517932406809542
frame_01526,-0.015086427335533947
frame_01490,-0.015342308259901016
frame_01440,-0.015420026021726763
frame_01283,-0.015578443775418727
frame_00550,-0.01558810127661231
frame_00865,-0.01573608687277045
frame_00567,-0.015996487393006076
frame_00131,-0.016198642855200396
frame_00410,-0.016275088225939705
frame_00029,-0.016626028962296924
frame_01070,-0.01672811577043276
frame_01196,-0.01675737469294397
frame_01337,-0.016757389374954967
frame_00065,-0.01686069197173018
frame_01383,-0.01714883409782192
frame_00489,-0.017158290286190314
frame_01496,-0.01728969594933666
frame_00034,-0.017385079689913596
frame_00031,-0.017583631445425296
frame_01409,-0.017607752108618646
frame_00400,-0.01761763740158767
frame_01445,-0.017642385841638908
frame_01341,-0.017725701114394032
frame_00949,-0.017789372024343886
frame_01868,-0.01780704848772402
frame_00055,-0.01785204730448242
frame_01495,-0.018232890162387216
frame_01852,-0.018500336247360638
frame_00882,-0.0186383918341248
frame_01403,-0.018761529653078424
frame_01912,-0.01886790586396858
frame_00028,-0.018877766637606486
frame_01069,-0.019526030643247927
frame_01218,-0.019584114326887836
frame_01388,-0.01965961555547885
frame_01195,-0.01979874811773319
frame_00513,-0.01982971227365299
frame_01881,-0.019897471393548416
frame_01353,-0.020105779927223122
frame_00305,-0.020283744380528212
frame_00360,-0.020327868832294205
frame_01415,-0.02044759242605315
frame_00032,-0.02045980745698117
frame_00552,-0.020533217055748787
frame_01230,-0.020573716466431802
frame_01305,-0.020858599880382522
frame_01441,-0.0208653492948091
frame_01933,-0.020884604140293084
frame_01739,-0.020906131704652497
frame_00541,-0.02094201899725001
frame_01281,-0.021012168332053438
frame_01505,-0.021094592036565496
frame_00390,-0.021158525100031966
frame_01280,-0.0213449010321074
frame_01459,-0.021407804095334937
frame_01390,-0.021630249775194343
frame_01373,-0.02187457130048226
frame_00321,-0.022057523311759752
frame_01932,-0.02213393680471648
frame_01425,-0.022135337976285308
frame_01865,-0.022260089335243538
frame_01928,-0.022343954348584105
frame_01389,-0.02246010038066204
frame_00520,-0.02249040172216077
frame_01385,-0.022524975446164885
frame_01416,-0.02270121434900302
frame_01458,-0.022711649805128964
frame_01413,-0.022738509617963698
frame_02000,-0.02277980178747896
frame_00087,-0.02287778856574757
frame_01349,-0.022947180425795966
frame_01411,-0.023066556888740986
frame_00362,-0.023070650223071643
frame_01456,-0.02329310391426992
frame_01339,-0.02335143286573743
frame_00030,-0.0237754958214193
frame_00178,-0.023859845753757825
frame_00399,-0.02407367440358449
frame_01908,-0.024207913612796728
frame_00381,-0.024350325937595174
frame_00549,-0.024355910570884043
